                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4827,                 1.9378,                 1.4806,                0.75744,                0.72488,                0.76263,                 0.5027,                 1.4812,                 1.5214,                 1.6082,               0.070003,               0.003333,               0.003333
                      1,                  1.423,                  1.384,                 1.4433,                0.83366,                0.75531,                0.81596,                0.54319,                 1.4266,                 1.2257,                 1.5542,               0.039563,              0.0062264,              0.0062264
                      2,                 1.4315,                 1.3348,                 1.4539,                0.81962,                0.77294,                0.82175,                0.55669,                 1.4027,                 1.1646,                 1.5418,              0.0086827,              0.0086797,              0.0086797
                      3,                 1.3992,                 1.2469,                 1.4303,                 0.8333,                0.80163,                0.83541,                0.56666,                 1.3898,                 1.0709,                 1.5202,                0.00802,                0.00802,                0.00802
                      4,                 1.3333,                  1.119,                 1.3869,                0.82691,                0.81755,                0.84302,                0.57816,                 1.3878,                 1.0367,                 1.5151,                0.00802,                0.00802,                0.00802
                      5,                 1.2784,                  1.027,                 1.3492,                0.83284,                0.81885,                0.84507,                0.58272,                 1.3854,                 1.0169,                 1.5132,                0.00736,                0.00736,                0.00736
                      6,                 1.2302,                0.95001,                  1.317,                 0.8336,                0.82572,                0.84568,                0.58228,                 1.3902,                 1.0045,                 1.5183,                 0.0067,                 0.0067,                 0.0067
                      7,                 1.1913,                 0.8973,                 1.2921,                0.83426,                0.82672,                0.84574,                0.58291,                 1.3907,                0.99601,                 1.5197,                0.00604,                0.00604,                0.00604
                      8,                  1.153,                0.84753,                 1.2674,                 0.8316,                 0.8268,                0.84528,                0.58459,                 1.3932,                 0.9913,                  1.523,                0.00538,                0.00538,                0.00538
                      9,                 1.1128,                0.80221,                 1.2441,                0.82997,                 0.8277,                0.84504,                0.58342,                  1.398,                 0.9949,                 1.5286,                0.00472,                0.00472,                0.00472
                     10,                 1.0784,                0.76342,                  1.222,                0.82933,                0.82728,                0.84493,                0.58306,                  1.405,                0.99687,                  1.535,                0.00406,                0.00406,                0.00406
                     11,                 1.0424,                 0.7287,                 1.2018,                0.83113,                0.82654,                0.84486,                0.58273,                 1.4128,                0.99549,                 1.5423,                 0.0034,                 0.0034,                 0.0034
                     12,                  1.005,                0.69371,                 1.1804,                0.83109,                 0.8287,                 0.8442,                0.58274,                 1.4208,                0.99404,                 1.5506,                0.00274,                0.00274,                0.00274
                     13,                0.96963,                0.66056,                 1.1605,                0.83183,                0.82653,                0.84372,                0.58256,                 1.4278,                0.99593,                 1.5599,                0.00208,                0.00208,                0.00208
                     14,                0.93462,                0.63327,                 1.1424,                0.83102,                   0.82,                0.84162,                0.58187,                 1.4345,                      1,                 1.5709,                0.00142,                0.00142,                0.00142
